"id","name","description","logo","category","pricing","features","link","isOpenSource","isPopular","isNew","requiresVerification","logo_url","logo_source"
"95","Duolingo","AI language learning platform","🦉","Arts & Humanities","Freemium","Language learning|Practice|Gamification","https://duolingo.com","false","true","false","false","https://cdn.brandfetch.io/duolingo.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"96","Speak","AI language tutor","🗣️","Arts & Humanities","Freemium","Speaking practice|Pronunciation|Feedback","https://speak.com","false","false","false","false","https://cdn.brandfetch.io/speak.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"97","Elsa Speak","AI pronunciation coach","🎯","Arts & Humanities","Freemium","Pronunciation|Accent reduction|Speaking","https://elsaspeak.com","false","false","false","false","https://cdn.brandfetch.io/elsaspeak.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"98","Motion","AI calendar and task manager","📅","Business & Management|All Tools","Freemium","Smart scheduling|Task management|Calendar","https://usemotion.com","false","true","false","false","https://cdn.brandfetch.io/usemotion.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"99","Reclaim.ai","Smart scheduling assistant","🔄","Business & Management|All Tools","Freemium","Smart scheduling|Calendar management|Habits","https://reclaim.ai","false","true","false","false","https://cdn.brandfetch.io/reclaim.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"100","Mem","AI-powered note-taking","🧠","All Tools|Business & Management","Freemium","Notes|Knowledge management|AI search","https://mem.ai","false","false","false","false","https://cdn.brandfetch.io/mem.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"101","Reflect","Networked note-taking with AI","🪞","All Tools|Business & Management","Freemium","Notes|Backlinking|AI assistant","https://reflect.app","false","false","false","false","https://cdn.brandfetch.io/reflect.app?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"102","Taskade","AI productivity workspace","✅","Business & Management|All Tools","Freemium","Tasks|Projects|Collaboration|AI","https://taskade.com","false","true","false","false","https://cdn.brandfetch.io/taskade.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"103","Scribe","AI process documentation","📝","Business & Management|Information Technology","Freemium","Process documentation|Screenshots|Guides","https://scribehow.com","false","true","false","false","https://cdn.brandfetch.io/scribehow.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"104","Magical","AI text expander and automation","✨","All Tools|Business & Management","Free","Text expansion|Automation|Data entry","https://magical.so","false","true","false","false","https://cdn.brandfetch.io/magical.so?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"105","Timely","AI time tracking","⏰","Business & Management","Freemium","Automatic time tracking|Productivity|Reporting","https://timelyapp.com","false","false","false","false","https://cdn.brandfetch.io/timelyapp.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"106","Superhuman","AI email assistant","📧","Business & Management|All Tools","Paid","Email management|AI writing|Productivity","https://superhuman.com","false","true","false","false","https://cdn.brandfetch.io/superhuman.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"107","SaneBox","AI email organizer","📥","Business & Management|All Tools","Freemium","Email filtering|Unsubscribe|Priority inbox","https://sanebox.com","false","false","false","false","https://cdn.brandfetch.io/sanebox.com?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"108","Compose AI","AI writing assistant for Chrome","✍️","All Tools|Business & Management","Free","Writing acceleration|Auto-complete|Email","https://compose.ai","false","true","false","false","https://cdn.brandfetch.io/compose.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"109","Moonbeam","AI writing assistant for long-form","🌙","Arts & Humanities|Business & Management","Freemium","Long-form writing|Essays|Blogs","https://moonbeam.ai","false","false","false","false","https://cdn.brandfetch.io/moonbeam.ai?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
"110","Rytr","AI writing assistant","✍️","Business & Management|Media & Communication","Freemium","Content writing|Copywriting|Multiple formats","https://rytr.me","false","true","false","false","https://cdn.brandfetch.io/rytr.me?c=1idHgzTH40svQnGmzjQ&type=logo&theme=light&fallback=brandfetch","brandfetch"
